"Well","Cycle","Time","Object Index","Area [um^2]","Area [%]","Perimeter [um]","Form factor","Extent","Compactness","Eccentricity","Characteristic RI","Characteristic dry mass density [pg / um^3]","Dry mass [pg]","Granularity"
"A1",1,"00:03:56",1,521.6,0.859125,146.233,0.306521,0.522876,3.26242,0.822335,1.34451,0.0725262,121.055,11.3102
"A1",1,"00:03:56",2,891.24,1.46796,214.219,0.244056,0.669501,4.09742,0.881016,1.34246,0.0622803,177.621,11.0447
"A1",1,"00:03:56",3,665.4,1.09598,180.635,0.256264,0.587062,3.90222,0.608677,1.34348,0.0673793,143.469,14.465
"A1",1,"00:03:56",4,1008.92,1.66179,272.051,0.171303,0.353893,5.8376,0.925655,1.34293,0.0646395,208.691,12.7675
"A1",1,"00:03:56",5,983.24,1.61949,232.841,0.227903,0.529569,4.38784,0.952336,1.34436,0.0718068,225.931,10.6274
"A1",1,"00:03:56",6,495.92,0.816827,169.538,0.216814,0.535481,4.61225,0.672412,1.34613,0.0806462,127.981,9.58528
"A1",1,"00:03:56",7,440.52,0.725578,163.144,0.207986,0.374019,4.80802,0.9077,1.35009,0.100448,141.598,7.24063
"A1",1,"00:03:56",8,572.56,0.943061,179.918,0.22227,0.491131,4.49902,0.822325,1.34477,0.0738461,135.3,13.6704
"A1",1,"00:03:56",9,356.28,0.586827,104.747,0.408053,0.5923,2.45066,0.676981,1.35154,0.107687,122.773,8.8958
"A1",2,"00:06:56",1,553.2,0.911173,186.479,0.199909,0.407064,5.00227,0.846258,1.34373,0.0686558,121.537,13.3072
"A1",2,"00:06:56",2,891.92,1.46908,189.697,0.31147,0.678163,3.21058,0.866294,1.34238,0.0619128,176.708,11.8448
"A1",2,"00:06:56",3,724.24,1.19289,217.543,0.19231,0.508967,5.19993,0.722636,1.34299,0.0649514,150.529,13.4938
"A1",2,"00:06:56",4,983.96,1.62068,227.46,0.238988,0.349517,4.18431,0.924621,1.34291,0.0645496,203.246,13.6397
"A1",2,"00:06:56",5,1006.68,1.6581,289.818,0.150609,0.459143,6.63971,0.947093,1.34416,0.0707821,228.016,10.8418
"A1",2,"00:06:56",6,499.96,0.823482,170.937,0.215017,0.522424,4.65079,0.600868,1.34562,0.0781027,124.954,10.4023
